tweet_id,date,source,text,rating_numerator,rating_denominator,name,stade_chien,single_rate,jpg_url,race_chien,retweeted,favorited,favorite_count,retweet_count,is_quote_status,langue
892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 .,13,10,Phineas,,1.3,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,,False,False,39467,8853,False,Anglais
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 .",13,10,Tilly,,1.3,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,False,False,33819,6514,False,Anglais
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 .,12,10,Archie,,1.2,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,False,False,25461,4328,False,Anglais
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us .,13,10,Darla,,1.3,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador_retriever,False,False,42908,8964,False,Anglais
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek .",12,10,Franklin,,1.2,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,False,False,41048,9774,False,Anglais
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek .,13,10,,,1.3,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_bay_retriever,False,False,20562,3261,False,Anglais
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H .",13,10,Jax,,1.3,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,False,False,12041,2158,False,Anglais
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 .,13,10,,,1.3,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,False,False,56848,16716,False,Anglais
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek .,13,10,Zoey,,1.3,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,False,False,28226,4429,False,Anglais
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate .,14,10,Cassie,doggo,1.4,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,False,False,32467,7711,False,Anglais
890006608113172480,2017-07-26 00:31:25+00:00,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek .,13,10,Koda,,1.3,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,False,False,31166,7624,False,Anglais
889880896479866881,2017-07-25 16:11:53+00:00,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy .,13,10,Bruno,,1.3,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,False,False,28268,5156,False,Anglais
889665388333682689,2017-07-25 01:55:32+00:00,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 .,13,10,,puppo,1.3,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,False,False,38818,8538,False,Anglais
889638837579907072,2017-07-25 00:10:02+00:00,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist .,12,10,Ted,,1.2,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,False,False,27672,4735,False,Anglais
889531135344209921,2017-07-24 17:02:04+00:00,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek .,13,10,Stuart,puppo,1.3,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,Golden_retriever,False,False,15359,2321,False,Anglais
889278841981685760,2017-07-24 00:19:32+00:00,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek .,13,10,Oliver,,1.3,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,Whippet,False,False,25652,5637,False,Anglais
888917238123831296,2017-07-23 00:22:39+00:00,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both .,12,10,Jim,,1.2,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,Golden_retriever,False,False,29611,4709,False,Anglais
888804989199671297,2017-07-22 16:56:37+00:00,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best .,13,10,Zeke,,1.3,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,Golden_retriever,False,False,26080,4559,False,Anglais
888554962724278272,2017-07-22 00:23:06+00:00,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af .,13,10,Ralphus,,1.3,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian_husky,False,False,20290,3732,False,Anglais
888078434458587136,2017-07-20 16:49:33+00:00,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway .,12,10,Gerald,,1.2,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French_bulldog,False,False,22201,3653,False,Anglais
887705289381826560,2017-07-19 16:06:48+00:00,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic .,13,10,Jeffrey,,1.3,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,Basset,False,False,30779,5609,False,Anglais
887517139158093824,2017-07-19 03:39:09+00:00,Twitter for iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) .,14,10,,,1.4,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,,False,True,46959,12082,False,Anglais
